company,count
"BANK OF AMERICA, NATIONAL ASSOCIATION",2
CAPITAL ONE FINANCIAL CORPORATION,4
"Diversified Consultants, Inc.",1
"Dovenmuehle Mortgage, Inc.",1
"EQUIFAX, INC.",3
HSBC NORTH AMERICA HOLDINGS INC.,1
"InterLinc Mortgage Services, LLC",1
JPMORGAN CHASE & CO.,3
"Kimball, Tirey & St. John LLP",1
NATIONSTAR MORTGAGE LLC,1
"Professional Finance Company, Inc.",1
"SANTANDER BANK, NATIONAL ASSOCIATION",1
SYNCHRONY FINANCIAL,1
TD BANK US HOLDING COMPANY,1
UNITED SERVICES AUTOMOBILE ASSOCIATION,1
WELLS FARGO & COMPANY,2
